month_start,agent_requests,tab_accepts,agent_requests_per_tab_accept
2025-09-01 00:00:00+00,448393397,674811136,0.6644724324762773
2026-01-01 00:00:00+00,617330736,476831201,1.2946525619660532
2025-11-01 00:00:00+00,520621019,586613664,0.8875023732825971
2025-08-01 00:00:00+00,404582185,628777696,0.6434423287813313
2025-10-01 00:00:00+00,500511947,632234771,0.791655204613857
2025-04-01 00:00:00+00,259455001,402804745,0.6441210145128752
2026-02-01 00:00:00+00,499021289,309892524,1.6103043808827089
2025-06-01 00:00:00+00,344361235,573397191,0.6005631705300768
2025-07-01 00:00:00+00,395986510,659762929,0.6001951497944802
2025-12-01 00:00:00+00,545981680,523325820,1.0432920737600908
2025-03-01 00:00:00+00,158608396,345231278,0.4594264949539132
2024-11-01 00:00:00+00,632059,138851657,0.00455204506489973
2024-12-01 00:00:00+00,18546964,165163575,0.11229451772280905
2025-05-01 00:00:00+00,317682317,555014471,0.5723856468600077
2024-02-01 00:00:00+00,0,202262,0.0
2024-09-01 00:00:00+00,0,19403066,0.0
2024-08-01 00:00:00+00,0,5210340,0.0
2024-04-01 00:00:00+00,0,1997382,0.0
2024-06-01 00:00:00+00,0,3315855,0.0
2024-01-01 00:00:00+00,0,88689,0.0
2024-05-01 00:00:00+00,0,2681370,0.0
2023-12-01 00:00:00+00,0,11301,0.0
2024-03-01 00:00:00+00,0,829975,0.0
2024-07-01 00:00:00+00,0,2908845,0.0
2025-02-01 00:00:00+00,51132580,254679490,0.20077227263176944
2025-01-01 00:00:00+00,44911908,215312451,0.20858946053240554
2024-10-01 00:00:00+00,0,101696884,0.0
