Model,CursorBench,Tokens (Mean),Steps (Median),Tokens (Median),SWE-Bench,SWE-Bench Pro,AFC,ScatterPlot,SWE-Bench,AFC
GPT52-High,56.5,22.5,32,18,80,55.6,43.2,yes,yes,yes
GPT54-High,63.9,18.4,31,15.8,? (~80.5?),57.7,40.4,yes,,yes
Opus46-High,58.2,23.4,40,20.4,80.8,53.6,43.1,yes,yes,yes
Opus45-High,48.4,17,34,15.2,80.9,51.6,46.7,yes,yes,yes
Gemini31-Pro,50.7,20.5,30,16.2,80.6,54.2,45.5,yes,yes,yes
Composer15,44.2,14,27,12.6,74.8,50.8,48,yes,yes,yes
GLM5,42.7,18,44,15.1,77.8,48.7,49.3,yes,yes,yes
Sonnet45,37.9,15,31,14,77.2,43.6,51.2,yes,yes,yes
Haiku45,29.4,17,44,14.4,73.3,39.5,55.3,yes,yes,yes
GPT-5-High,39.4,13.2,27,12.1,74.9,,,yes,yes,
GPT53-Codex-XHigh,61.7,26.5,41,22.9,,,,yes,,
GPT53-Codex-High,59.1,17.1,32,14.2,,,42.8,yes,no,
GPT53-Codex-Medium,53.3,9.8,22,7.6,,,,yes,no,
GPT53-Codex-Low,42.9,5.6,16,4.4,,,,yes,no,
Opus46-Low,47.7,11.5,30,8.5,,,,yes,no,no
Opus46-Medium,52.9,17.1,35,14.1,,,,yes,no,
